"Region","astro_sig","endothelial_sig","gad_sig","l2_3_it_sig","l4_it_sig","l5_it_sig","l6_ct_sig","l6_it_sig","lamp5_sig","microglia_sig","oligo_sig","opc_sig","pericyte_sig","pvalb_expr","pvalb_sig","sst_expr","sst_sig","vip_sig"
1,-0.206183642148972,-1.07763469219208,-0.135533586144447,0.274464458227158,0.195091366767883,-0.525221765041351,-0.751214981079102,0.139155879616737,0.123462826013565,0.229436963796616,-0.775894582271576,0.00371424970217049,-0.715298116207123,-0.587853789329529,-0.587853789329529,0.450839340686798,0.450839340686798,0.547927737236023
2,-0.0171466134488583,0.770115077495575,0.15810090303421,-0.0822603181004524,0.876963913440704,0.00690032262355089,0.911738932132721,0.48993119597435,0.0975643023848534,-0.248854979872704,0.83190530538559,-0.601292431354523,-0.978679358959198,0.26262754201889,0.26262754201889,0.355585336685181,0.355585336685181,0.417632937431335
3,0.192658320069313,-0.238775208592415,-0.532880306243896,-0.0737834796309471,0.322393745183945,-0.591075956821442,-0.220536485314369,0.210771113634109,-0.0281709488481283,-0.283807307481766,0.371774256229401,0.479019552469254,-0.183484524488449,-0.454328209161758,-0.454328209161758,-0.125072926282883,-0.125072926282883,0.0623889937996864
4,-0.196483850479126,-0.236439913511276,0.0390882790088654,0.693297624588013,0.21940316259861,-0.785852491855621,-1.27985846996307,0.704404294490814,0.917333662509918,0.171369776129723,-0.766413748264313,-0.599594235420227,-0.359907656908035,-0.619152188301086,-0.619152188301086,0.0902114138007164,0.0902114138007164,0.899655640125275
5,-0.367013514041901,0.177719458937645,0.0498604290187359,0.252916276454926,0.547841489315033,-0.54422664642334,-0.331580460071564,0.445963233709335,0.512331962585449,-0.865710079669952,0.289077579975128,-0.205518990755081,-0.120234526693821,0.0717692002654076,0.0717692002654076,-0.604091107845306,-0.604091107845306,0.426300823688507
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,-0.342819333076477,0.424742132425308,0.103483982384205,0.550188362598419,0.288043290376663,0.0836744755506516,0.361664712429047,0.574018895626068,0.361995100975037,-0.420410484075546,0.359986126422882,-0.0606190636754036,-0.0716340467333794,0.405839502811432,0.405839502811432,-0.295561879873276,-0.295561879873276,-0.191049739718437
8,-0.666108727455139,-0.105649814009666,-0.62433135509491,0.618600785732269,0.773955881595612,-0.177166625857353,0.0700146555900574,0.527208209037781,0.63686591386795,-1.32519340515137,-0.178688511252403,0.22704254090786,-0.131110236048698,-0.216922283172607,-0.216922283172607,-0.839868903160095,-0.839868903160095,0.29128435254097
9,-0.844873130321503,0.870700120925903,-0.383848518133163,0.0680918619036674,0.319149643182755,-0.0880873575806618,0.177335515618324,-0.294878333806992,-0.734204709529877,-1.02147507667542,0.703350126743317,-0.906605839729309,-0.526951134204865,1.23441660404205,1.23441660404205,0.198389530181885,0.198389530181885,-0.115723311901093
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.176899120211601,0.353445053100586,0.264942348003387,1.35233545303345,1.27474164962769,0.273469597101212,0.447776466608047,1.08176469802856,0.0397431328892708,-0.892463684082031,0.645604848861694,-0.481983363628387,-0.237419739365578,0.766411304473877,0.766411304473877,-0.920704662799835,-0.920704662799835,0.285104542970657
13,-0.732266843318939,0.0309801157563925,-0.519861161708832,0.594033300876617,0.559014737606049,-0.981916844844818,0.607590079307556,0.245642721652985,0.20025734603405,-0.8150994181633,0.54029256105423,-0.440550357103348,-0.778153657913208,0.871999680995941,0.871999680995941,-0.0289065521210432,-0.0289065521210432,-0.32819527387619
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.247336596250534,0.189230248332024,1.08542478084564,1.23316466808319,2.22199034690857,-0.40715816617012,0.422486484050751,-0.472218483686447,-0.499023824930191,-0.616534352302551,0.853277623653412,-0.377981156110764,-0.431710779666901,1.02623438835144,1.02623438835144,-1.43868279457092,-1.43868279457092,-0.35149160027504
16,-0.411018282175064,-0.579422652721405,0.146253973245621,0.194364503026009,0.979573428630829,-0.297495990991592,0.486236095428467,0.483319908380508,-1.05960750579834,-0.345131367444992,-0.180945858359337,-0.268996506929398,0.109252639114857,0.661852240562439,0.661852240562439,-0.296743929386139,-0.296743929386139,-0.136135160923004
17,-0.965808033943176,0.373507052659988,0.408661514520645,0.886834681034088,1.0003936290741,-0.0895631462335587,0.0500458106398582,1.18778336048126,-0.299692094326019,-1.40069568157196,0.0297628529369831,-0.214075520634651,0.644890248775482,0.833895266056061,0.833895266056061,-0.911083042621613,-0.911083042621613,0.303822129964828
18,0.151626080274582,1.22395884990692,-0.580492258071899,0.828220725059509,0.608931005001068,-0.57218211889267,-0.0355876237154007,0.800626635551453,0.291661590337753,-0.850496411323547,0.381787180900574,0.0237116012722254,1.15225923061371,0.679994642734528,0.679994642734528,-0.601514279842377,-0.601514279842377,0.677035927772522
